sort_order,wmo,name,history_product,local_date_time,local_date_time_full,aifstime_utc,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type,cloud_type_id,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_msl,press_qnh,press_tend,rain_trace,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_spd_kmh,wind_spd_kt
0,95761,Holsworthy,IDN60801,29/02:30pm,20210629143000,20210629043000,-34.0,150.9,15.6,Partly cloudy,330,3,-,null,2.3,11,6,16.1,11.9,1031.9,1031.9,1031.9,-,0.6,76,-,-,null,null,10,-,S,6,3
1,95761,Holsworthy,IDN60801,29/02:00pm,20210629140000,20210629040000,-34.0,150.9,14.1,Partly cloudy,480,3,-,null,1.4,11,6,15.0,12.5,1032.1,1032.1,1032.1,-,0.6,85,-,-,null,null,10,-,W,9,5
2,95761,Holsworthy,IDN60801,29/01:30pm,20210629133000,20210629033000,-34.0,150.9,13.2,Partly cloudy,150,3,-,null,0.9,13,7,14.1,12.5,1032.4,1032.4,1032.4,-,0.6,90,-,-,null,null,10,-,W,9,5
3,95761,Holsworthy,IDN60801,29/01:01pm,20210629130100,20210629030100,-34.0,150.9,12.8,Partly cloudy,120,3,-,null,0.6,9,5,13.3,12.2,1032.7,1032.7,1032.7,-,0.6,93,-,-,null,null,10,-,W,6,3
4,95761,Holsworthy,IDN60801,29/01:00pm,20210629130000,20210629030000,-34.0,150.9,12.7,Partly cloudy,120,3,-,null,0.7,9,5,13.2,11.9,1032.7,1032.7,1032.7,-,0.6,92,-,-,null,null,10,-,WNW,6,3
5,95761,Holsworthy,IDN60801,29/12:36pm,20210629123600,20210629023600,-34.0,150.9,11.9,Partly cloudy,390,5,-,null,0.7,9,5,12.8,11.4,1033.1,1033.1,1033.1,-,0.4,91,-,-,null,null,9,-,N,7,4
6,95761,Holsworthy,IDN60801,29/12:30pm,20210629123000,20210629023000,-34.0,150.9,11.8,Partly cloudy,390,5,-,null,0.9,9,5,12.8,11.0,1033.2,1033.2,1033.2,-,0.2,89,-,-,null,null,9,-,NNW,7,4
7,95761,Holsworthy,IDN60801,29/12:18pm,20210629121800,20210629021800,-34.0,150.9,11.0,Partly cloudy,390,5,-,null,1.3,17,9,12.9,10.4,1033.4,1033.4,1033.4,-,0.2,85,-,-,null,null,4,-,NNE,11,6
8,95761,Holsworthy,IDN60801,29/12:16pm,20210629121600,20210629021600,-34.0,150.9,10.9,Partly cloudy,390,5,-,null,1.4,17,9,12.9,10.1,1033.4,1033.4,1033.4,-,0.2,83,-,-,null,null,5,-,NNE,11,6
9,95761,Holsworthy,IDN60801,29/12:00pm,20210629120000,20210629020000,-34.0,150.9,14.0,Cloudy,600,8,-,null,2.0,7,4,14.2,10.4,1033.5,1033.5,1033.5,-,0.0,78,-,-,null,null,10,Showers,NNE,2,1
10,95761,Holsworthy,IDN60801,29/11:30am,20210629113000,20210629013000,-34.0,150.9,13.0,Partly cloudy,720,5,-,null,2.2,9,5,14.3,10.1,1033.6,1033.6,1033.6,-,0.0,76,-,-,null,null,10,-,WNW,7,4
11,95761,Holsworthy,IDN60801,29/11:00am,20210629110000,20210629010000,-34.0,150.9,12.5,Partly cloudy,1290,5,-,null,2.1,9,5,13.9,9.7,1033.7,1033.7,1033.7,-,0.0,76,-,-,null,null,10,-,WSW,7,4
12,95761,Holsworthy,IDN60801,29/10:30am,20210629103000,20210629003000,-34.0,150.9,10.4,Partly cloudy,1230,3,-,null,1.9,15,8,12.7,9.0,1034.0,1034.0,1034.0,-,0.0,78,-,-,null,null,10,-,WSW,11,6
13,95761,Holsworthy,IDN60801,29/10:00am,20210629100000,20210629000000,-34.0,150.9,9.3,Cloudy,1350,8,-,null,1.1,11,6,10.9,8.7,1034.4,1034.4,1034.4,-,0.0,86,-,-,null,null,10,-,WNW,7,4
14,95761,Holsworthy,IDN60801,29/09:30am,20210629093000,20210628233000,-34.0,150.9,7.4,Partly cloudy,1050,3,-,null,0.9,13,7,9.9,8.0,1034.5,1034.5,1034.5,-,0.0,88,-,-,null,null,10,-,W,11,6
15,95761,Holsworthy,IDN60801,29/09:00am,20210629090000,20210628230000,-34.0,150.9,8.1,Cloudy,1000,8,-,null,0.6,6,3,9.0,7.8,1034.5,1034.5,1034.5,-,0.0,92,-,-,null,null,10,-,NW,2,1
16,95761,Holsworthy,IDN60801,29/08:30am,20210629083000,20210628223000,-34.0,150.9,6.1,Partly cloudy,1320,5,-,null,0.5,9,5,8.1,7.0,1034.2,1034.2,1034.2,-,0.0,93,-,-,null,null,10,-,W,7,4
17,95761,Holsworthy,IDN60801,29/08:00am,20210629080000,20210628220000,-34.0,150.9,4.5,Partly cloudy,1260,3,-,null,0.4,13,7,7.4,6.5,1034.0,1034.0,1034.0,-,0.0,94,-,-,null,null,10,-,WSW,11,6
18,95761,Holsworthy,IDN60801,29/07:30am,20210629073000,20210628213000,-34.0,150.9,4.1,Partly cloudy,1620,5,-,null,0.3,15,8,7.0,6.4,1033.5,1033.5,1033.5,-,0.0,96,-,-,null,null,10,-,SW,11,6
19,95761,Holsworthy,IDN60801,29/07:00am,20210629070000,20210628210000,-34.0,150.9,3.2,Partly cloudy,1710,3,-,null,0.2,13,7,6.2,5.8,1033.4,1033.4,1033.4,-,0.0,97,-,-,null,null,10,-,WSW,11,6
20,95761,Holsworthy,IDN60801,29/06:30am,20210629063000,20210628203000,-34.0,150.9,2.7,-,null,null,-,null,0.2,13,7,5.8,5.4,1033.0,1033.0,1033.0,-,0.0,97,-,-,null,null,10,-,WSW,11,6
21,95761,Holsworthy,IDN60801,29/06:00am,20210629060000,20210628200000,-34.0,150.9,3.0,-,null,null,-,null,0.3,11,6,5.5,4.9,1033.0,1033.0,1033.0,-,0.0,96,-,-,null,null,10,-,W,7,4
22,95761,Holsworthy,IDN60801,29/05:30am,20210629053000,20210628193000,-34.0,150.9,4.2,-,null,null,-,null,0.3,7,4,6.0,5.3,1032.7,1032.7,1032.7,-,0.0,95,-,-,null,null,10,-,NW,4,2
23,95761,Holsworthy,IDN60801,29/05:00am,20210629050000,20210628190000,-34.0,150.9,4.4,-,null,null,-,null,0.4,9,5,6.5,5.6,1032.3,1032.3,1032.3,-,0.0,94,-,-,null,null,10,-,WSW,6,3
24,95761,Holsworthy,IDN60801,29/04:30am,20210629043000,20210628183000,-34.0,150.9,3.9,-,null,null,-,null,0.4,15,8,7.2,6.3,1032.2,1032.2,1032.2,-,0.0,94,-,-,null,null,10,-,WSW,13,7
25,95761,Holsworthy,IDN60801,29/04:00am,20210629040000,20210628180000,-34.0,150.9,4.7,Partly cloudy,1680,5,-,null,0.5,13,7,7.3,6.2,1032.3,1032.3,1032.3,-,0.0,93,-,-,null,null,10,-,WSW,9,5
26,95761,Holsworthy,IDN60801,29/03:30am,20210629033000,20210628173000,-34.0,150.9,5.3,Cloudy,1740,8,-,null,0.5,13,7,7.8,6.7,1032.5,1032.5,1032.5,-,0.0,93,-,-,null,null,10,-,WSW,9,5
