Date,Time,Air Temp (*C),Wind Direction,Wind Speed (m/s),Gust Speed (m/s),Rain since 9am (mm),Rain since last check (mm), 
30/06/2021,12:30pm,18.2,NNE,1.94,4.17,0.0,0.0,
30/06/2021,12:00pm,17.5,N,1.67,2.5,0.0,0.0,
30/06/2021,11:30am,16.6,ENE,1.11,1.94,0.0,0.0,
30/06/2021,11:00am,15.9,S,0.56,1.67,0.0,0.0,
30/06/2021,10:30am,15.3,CALM,0.0,0.0,0.0,0.0,
30/06/2021,10:00am,15.0,CALM,0.0,0.0,0.0,0.0,
30/06/2021,09:30am,13.5,CALM,0.0,1.67,0.0,0,
30/06/2021,09:00am,11.7,CALM,0.0,2.5,9.4,0.0,
30/06/2021,08:30am,11.0,NNW,0.56,1.67,9.4,0.0,
30/06/2021,08:00am,10.2,CALM,0.0,0.0,9.4,0.0,
30/06/2021,07:30am,9.4,CALM,0.0,0.0,9.4,0.0,
30/06/2021,07:19am,9.1,CALM,0.0,0.0,9.4,0.0,
30/06/2021,07:04am,8.9,CALM,0.0,1.94,9.4,0.0,
30/06/2021,07:00am,8.9,CALM,0.0,0.0,9.4,0.0,
30/06/2021,06:57am,8.9,CALM,0.0,0.0,9.4,0.0,
30/06/2021,06:52am,9.0,CALM,0.0,0.0,9.4,0.0,
30/06/2021,06:30am,9.2,SW,2.5,3.06,9.4,0.0,
30/06/2021,06:29am,9.3,WSW,2.5,3.06,9.4,0.0,
30/06/2021,06:16am,9.1,WSW,2.5,3.06,9.4,0.0,
30/06/2021,06:06am,8.9,W,1.94,2.5,9.4,0.0,
30/06/2021,06:00am,9.0,SW,1.67,2.5,9.4,0.0,
30/06/2021,05:59am,9.0,SW,1.67,2.5,9.4,0.0,
30/06/2021,05:30am,9.7,CALM,0.0,0.0,9.4,0.0,
30/06/2021,05:28am,9.7,CALM,0.0,0.0,9.4,0.0,
30/06/2021,05:27am,9.8,CALM,0.0,0.0,9.4,0.0,
30/06/2021,05:16am,10.1,CALM,0.0,0.0,9.4,0.0,
30/06/2021,05:10am,10.3,CALM,0.0,0.0,9.4,0.0,
30/06/2021,05:00am,10.3,CALM,0.0,0.0,9.4,0.0,
30/06/2021,04:30am,10.3,CALM,0.0,0.0,9.4,0.0,
30/06/2021,04:07am,10.7,S,1.94,2.5,9.4,0.0,
30/06/2021,04:00am,9.7,SSW,1.94,2.5,9.4,0.0,
30/06/2021,03:49am,9.9,SW,0.56,2.5,9.4,0.0,
30/06/2021,03:34am,10.2,WSW,1.11,1.94,9.4,0.0,
30/06/2021,03:32am,10.4,WSW,1.67,1.94,9.4,0.0,
30/06/2021,03:30am,10.5,SW,1.67,2.5,9.4,0.0,
30/06/2021,03:00am,10.8,SW,2.5,2.5,9.4,0.0,
30/06/2021,02:30am,11.2,SW,2.5,3.06,9.4,0.0,
30/06/2021,02:07am,11.4,SW,2.5,3.06,9.4,0.0,
30/06/2021,02:00am,11.5,SW,1.94,2.5,9.4,0.0,
30/06/2021,01:47am,11.5,WSW,1.11,1.94,9.4,0.0,
30/06/2021,01:30am,11.8,CALM,0.0,0.0,9.4,0.0,
30/06/2021,01:24am,11.8,CALM,0.0,1.67,9.4,1.0,*
30/06/2021,01:00am,11.9,N,1.67,3.61,8.4,1.0,*
30/06/2021,12:30am,11.9,SW,2.5,3.06,7.4,0.0,
30/06/2021,12:00am,12.1,WSW,1.94,3.06,7.4,0.0,
29/06/2021,11:30pm,12.3,SW,3.61,4.72,7.4,0.6,*
29/06/2021,11:00pm,12.2,WSW,1.94,3.06,6.8,0.4,*
29/06/2021,10:30pm,12.2,SW,2.5,3.06,6.4,0.0,
29/06/2021,10:00pm,12.2,SW,1.94,2.5,6.4,0.0,
29/06/2021,09:30pm,12.5,WSW,2.5,3.06,6.4,0.0,
29/06/2021,09:00pm,12.6,W,1.67,2.5,6.4,0.0,
29/06/2021,08:30pm,12.8,SE,1.11,1.94,6.4,0.0,
29/06/2021,08:25pm,12.8,ESE,1.67,1.94,6.4,0.0,
29/06/2021,08:11pm,13.0,ESE,2.5,4.17,6.4,0.2,*
29/06/2021,08:00pm,13.1,ESE,3.06,4.17,6.2,0.4,*
29/06/2021,07:48pm,13.3,E,2.5,3.61,5.8,0.0,
29/06/2021,07:32pm,13.3,E,2.5,3.06,5.8,0.0,
