Time,Air Temp (*C),Wind Direction,Wind Speed (m/s),Gust Speed (m/s),Total Rain (mm),Rain since last check (mm), 
12:00am,12.1,WSW,1.94,3.06,0.0,0.0,
12:30am,11.9,SW,2.5,3.06,0.0,0.0,
01:00am,11.9,N,1.67,3.61,1.0,1.0,*
01:24am,11.8,CALM,0.0,1.67,2.0,1.0,*
01:30am,11.8,CALM,0.0,0.0,2.0,0.0,
01:47am,11.5,WSW,1.11,1.94,2.0,0.0,
02:00am,11.5,SW,1.94,2.5,2.0,0.0,
02:07am,11.4,SW,2.5,3.06,2.0,0.0,
02:30am,11.2,SW,2.5,3.06,2.0,0.0,
03:00am,10.8,SW,2.5,2.5,2.0,0.0,
03:30am,10.5,SW,1.67,2.5,2.0,0.0,
03:32am,10.4,WSW,1.67,1.94,2.0,0.0,
03:34am,10.2,WSW,1.11,1.94,2.0,0.0,
03:49am,9.9,SW,0.56,2.5,2.0,0.0,
04:00am,9.7,SSW,1.94,2.5,2.0,0.0,
04:07am,10.7,S,1.94,2.5,2.0,0.0,
04:30am,10.3,CALM,0.0,0.0,2.0,0.0,
05:00am,10.3,CALM,0.0,0.0,2.0,0.0,
05:10am,10.3,CALM,0.0,0.0,2.0,0.0,
05:16am,10.1,CALM,0.0,0.0,2.0,0.0,
05:27am,9.8,CALM,0.0,0.0,2.0,0.0,
05:28am,9.7,CALM,0.0,0.0,2.0,0.0,
05:30am,9.7,CALM,0.0,0.0,2.0,0.0,
05:59am,9.0,SW,1.67,2.5,2.0,0.0,
06:00am,9.0,SW,1.67,2.5,2.0,0.0,
06:06am,8.9,W,1.94,2.5,2.0,0.0,
06:16am,9.1,WSW,2.5,3.06,2.0,0.0,
06:29am,9.3,WSW,2.5,3.06,2.0,0.0,
06:30am,9.2,SW,2.5,3.06,2.0,0.0,
06:52am,9.0,CALM,0.0,0.0,2.0,0.0,
06:57am,8.9,CALM,0.0,0.0,2.0,0.0,
07:00am,8.9,CALM,0.0,0.0,2.0,0.0,
07:04am,8.9,CALM,0.0,1.94,2.0,0.0,
07:19am,9.1,CALM,0.0,0.0,2.0,0.0,
07:30am,9.4,CALM,0.0,0.0,2.0,0.0,
08:00am,10.2,CALM,0.0,0.0,2.0,0.0,
08:30am,11.0,NNW,0.56,1.67,2.0,0.0,
09:00am,11.7,CALM,0.0,2.5,2.0,0.0,
09:30am,13.5,CALM,0.0,1.67,2.0,0,
10:00am,15.0,CALM,0.0,0.0,2.0,0.0,
10:30am,15.3,CALM,0.0,0.0,2.0,0.0,
11:00am,15.9,S,0.56,1.67,2.0,0.0,
11:30am,16.6,ENE,1.11,1.94,2.0,0.0,
12:00pm,17.5,N,1.67,2.5,2.0,0.0,
12:30pm,18.2,NNE,1.94,4.17,2.0,0.0,
01:00pm,17.2,N,3.06,5.28,2.0,0.0,
01:30pm,17.3,NNE,1.67,3.06,2.0,0.0,
02:00pm,17.8,N,2.5,3.61,2.0,0.0,
02:30pm,17.4,NNE,3.61,4.17,2.0,0.0,
03:00pm,17.0,E,2.5,3.06,2.0,0.0,
03:30pm,16.1,E,3.06,4.17,2.0,0.0,
04:00pm,15.6,E,3.61,4.72,2.0,0.0,
04:30pm,15.0,E,2.5,3.61,2.4,0.4,*
05:00pm,14.7,E,1.94,2.5,2.4,0.0,
05:30pm,14.5,SE,1.94,2.5,2.4,0.0,
06:00pm,14.3,SE,1.67,1.94,2.6,0.2,*
06:30pm,14.0,CALM,0.0,0.0,2.6,0.0,
07:00pm,14.1,ESE,1.67,1.94,2.6,0.0,
07:30pm,13.6,ESE,1.67,2.5,2.6,0.0,
08:00pm,13.6,E,1.67,1.94,2.6,0.0,
08:27pm,12.6,ESE,1.67,1.67,2.6,0.0,
08:30pm,12.5,ESE,1.67,1.94,2.6,0.0,
08:47pm,13.1,ESE,1.67,1.94,2.6,0.0,
09:00pm,13.4,ESE,1.94,1.94,2.6,0.0,
09:30pm,12.8,NW,1.11,1.67,2.6,0.0,
10:00pm,12.9,CALM,0.0,0.0,2.6,0.0,
10:30pm,13.1,WSW,1.94,2.5,2.6,0.0,
11:00pm,12.9,SW,1.94,2.5,2.6,0.0,
11:21pm,11.9,SW,1.94,2.5,2.6,0.0,
11:30pm,11.8,SW,1.67,2.5,2.6,0.0,
11:53pm,12.1,SW,2.5,3.06,2.6,0.0,
