local_date_time_full,local_date_time,air_temp,wind_dir,wind_spd_kmh,gust_kmh,rain_trace
20210702090000,02/09:00am,10.5,NNW,4,9,3.6
20210702083000,02/08:30am,10.5,WNW,2,7,3.6
20210702080000,02/08:00am,10.4,NW,6,7,3.6
20210702073000,02/07:30am,10.6,CALM,0,0,3.6
20210702070000,02/07:00am,10.5,SW,7,11,3.6
20210702063000,02/06:30am,10.6,W,7,9,3.6
20210702060000,02/06:00am,10.7,WSW,9,11,3.6
20210702053000,02/05:30am,11.0,W,9,13,3.6
20210702050000,02/05:00am,11.2,W,6,9,3.6
20210702043000,02/04:30am,11.1,NW,6,7,3.6
20210702040000,02/04:00am,11.2,NNW,6,7,3.6
20210702033000,02/03:30am,11.2,NNE,2,6,3.6
20210702030000,02/03:00am,11.1,CALM,0,0,3.6
20210702023000,02/02:30am,10.8,ENE,7,9,3.6
20210702020000,02/02:00am,10.9,CALM,0,0,3.6
20210702013000,02/01:30am,11.2,CALM,0,0,3.6
20210702010000,02/01:00am,11.6,WSW,6,7,3.6
20210702003000,02/12:30am,11.9,SW,7,11,3.6
20210702000000,02/12:00am,12.1,WSW,7,9,3.6
20210701233000,01/11:30pm,12.1,WSW,7,9,3.6
20210701230000,01/11:00pm,12.2,CALM,0,0,3.6
20210701223000,01/10:30pm,12.3,CALM,0,0,3.6
20210701220000,01/10:00pm,12.5,WSW,6,7,3.6
20210701215700,01/09:57pm,12.5,WSW,6,9,3.6
20210701214900,01/09:49pm,12.6,W,9,11,3.6
20210701213000,01/09:30pm,12.8,E,7,9,3.6
20210701210000,01/09:00pm,12.9,N,6,9,3.2
20210701204000,01/08:40pm,13.0,WSW,6,9,2.8
20210701203600,01/08:36pm,13.1,SW,6,9,2.6
20210701203000,01/08:30pm,13.1,SW,7,11,2.6
20210701200000,01/08:00pm,13.3,N,6,7,1.4
20210701194900,01/07:49pm,13.3,WNW,6,11,0.6
20210701193000,01/07:30pm,13.1,W,7,11,0.0
20210701190000,01/07:00pm,13.0,W,6,7,0.0
20210701183000,01/06:30pm,13.9,NNE,4,6,0.0
20210701180000,01/06:00pm,14.1,ENE,6,9,0.0
20210701173000,01/05:30pm,14.1,ESE,6,7,0.0
20210701170000,01/05:00pm,14.5,ESE,6,7,0.0
20210701163000,01/04:30pm,15.0,E,6,7,0.0
20210701160000,01/04:00pm,15.3,E,7,9,0.0
20210701153000,01/03:30pm,15.3,ENE,6,9,0.0
20210701150000,01/03:00pm,15.6,NNE,7,11,0.0
20210701143000,01/02:30pm,15.9,N,7,11,0.0
20210701140000,01/02:00pm,16.0,N,7,9,0.0
20210701133000,01/01:30pm,16.7,N,7,11,0.0
20210701130000,01/01:00pm,16.0,SSW,2,7,0.0
20210701123000,01/12:30pm,14.8,CALM,0,0,0.0
20210701122900,01/12:29pm,14.8,CALM,0,4,0.0
20210701121600,01/12:16pm,14.6,WSW,4,9,0.0
20210701120000,01/12:00pm,14.0,WNW,7,9,0.0
20210701113700,01/11:37am,12.8,WNW,7,11,0.0
20210701113000,01/11:30am,12.7,NNW,6,7,0.0
20210701110000,01/11:00am,12.4,N,6,9,0.0
20210701103000,01/10:30am,12.3,WNW,7,9,0.0
20210701100000,01/10:00am,12.0,CALM,0,7,0.0
20210701094000,01/09:40am,11.6,WNW,4,7,0.0
20210701093600,01/09:36am,11.7,NW,2,7,0.0
20210701093000,01/09:30am,11.6,CALM,0,0,0.0
20210701091400,01/09:14am,11.5,CALM,0,0,0.0
20210701090000,01/09:00am,10.8,NW,2,7,0.6
20210701085600,01/08:56am,10.7,WNW,2,7,0.6
20210701083000,01/08:30am,10.0,CALM,0,0,0.6
20210701082800,01/08:28am,10.0,CALM,0,0,0.6
20210701082600,01/08:26am,9.9,CALM,0,0,0.6
20210701081000,01/08:10am,9.5,WNW,7,9,0.6
