local_date_time_full,local_date_time,air_temp,wind_dir,wind_spd_kmh,gust_kmh,rain_trace
20210625133000,25/01:30pm,17.7,WNW,20,35,0.0
20210625140000,25/02:00pm,18.0,WNW,17,26,0.0
20210625143000,25/02:30pm,17.9,WNW,20,33,0.0
20210625150000,25/03:00pm,18.1,WNW,17,24,0.0
20210625153000,25/03:30pm,18.1,WNW,13,24,0.0
20210625160000,25/04:00pm,17.6,NW,11,19,0.0
20210625163000,25/04:30pm,16.6,NW,15,24,0.0
20210625170000,25/05:00pm,15.4,NW,13,19,0.0
20210625173000,25/05:30pm,14.8,NNW,13,17,0.0
20210625180000,25/06:00pm,14.1,NW,9,13,0.0
20210625183000,25/06:30pm,13.7,NW,11,15,0.0
20210625190000,25/07:00pm,13.4,NW,9,13,0.0
20210625193000,25/07:30pm,12.7,NNW,6,9,0.0
20210625200000,25/08:00pm,12.0,NNW,9,13,0.0
20210625203000,25/08:30pm,9.4,ENE,4,9,0.0
20210625210000,25/09:00pm,9.1,CALM,0,0,0.0
20210625213000,25/09:30pm,8.2,CALM,0,0,0.0
20210625220000,25/10:00pm,9.8,N,6,9,0.0
20210625223000,25/10:30pm,8.1,CALM,0,0,0.0
20210625230000,25/11:00pm,9.9,SW,11,19,0.0
20210625233000,25/11:30pm,11.0,W,11,15,0.0
20210626000000,26/12:00am,9.4,CALM,0,6,0.0
20210626003000,26/12:30am,8.7,CALM,0,0,0.0
20210626010000,26/01:00am,7.7,SW,2,6,0.0
20210626013000,26/01:30am,7.6,CALM,0,0,0.0
20210626020000,26/02:00am,7.3,CALM,0,0,0.0
20210626023000,26/02:30am,6.3,CALM,0,7,0.0
20210626030000,26/03:00am,7.1,SW,9,11,0.0
20210626033000,26/03:30am,7.4,SW,7,9,0.0
20210626040000,26/04:00am,6.5,SW,6,7,0.0
20210626043000,26/04:30am,5.6,CALM,0,0,0.0
20210626050000,26/05:00am,5.6,CALM,0,0,0.0
20210626053000,26/05:30am,4.8,WNW,6,7,0.0
20210626060000,26/06:00am,4.3,WSW,7,9,0.0
20210626063000,26/06:30am,4.3,WSW,6,7,0.0
20210626070000,26/07:00am,4.0,WSW,7,9,0.0
20210626073000,26/07:30am,5.0,WSW,7,9,0.0
20210626080000,26/08:00am,7.2,WSW,9,11,0.0
20210626083000,26/08:30am,8.1,WSW,7,9,0.0
20210626090000,26/09:00am,9.1,W,9,11,0.0
20210626093000,26/09:30am,10.8,W,9,11,0.0
20210626100000,26/10:00am,12.6,W,9,15,0.0
20210626103000,26/10:30am,14.2,W,13,17,0.0
20210626110000,26/11:00am,14.6,W,17,28,0.0
20210626113000,26/11:30am,15.3,W,20,32,0.0
20210626120000,26/12:00pm,16.1,W,24,37,0.0
20210626123000,26/12:30pm,16.6,W,26,41,0.0
20210626130000,26/01:00pm,17.1,W,20,37,0.0
20210626133000,26/01:30pm,16.9,W,26,39,0.0
20210626133800,26/01:38pm,16.8,W,28,46,0.0
20210626140000,26/02:00pm,16.9,W,22,39,0.0
20210626143000,26/02:30pm,16.9,WSW,24,39,0.0
20210626150000,26/03:00pm,16.7,WNW,24,37,0.0
20210626153000,26/03:30pm,16.1,W,26,37,0.0
20210626160000,26/04:00pm,15.2,W,19,30,0.0
20210626163000,26/04:30pm,14.6,W,24,43,0.0
20210626170000,26/05:00pm,13.6,WNW,15,26,0.0
20210626173000,26/05:30pm,13.3,WNW,19,30,0.0
20210626180000,26/06:00pm,12.9,W,15,22,0.0
20210626183000,26/06:30pm,12.7,W,13,24,0.0
20210626190000,26/07:00pm,12.2,W,9,15,0.0
20210626193000,26/07:30pm,11.3,W,7,11,0.0
20210626200000,26/08:00pm,10.5,NW,9,11,0.0
20210626203000,26/08:30pm,9.5,WNW,9,13,0.0
20210626210000,26/09:00pm,9.5,W,9,11,0.0
20210626213000,26/09:30pm,8.8,NW,7,11,0.0
20210626220000,26/10:00pm,9.1,NW,6,9,0.0
20210626223000,26/10:30pm,8.5,W,7,11,0.0
20210626230000,26/11:00pm,8.8,WNW,9,11,0.0
20210626233000,26/11:30pm,8.0,W,7,9,0.0
20210627000000,27/12:00am,7.3,CALM,0,0,0.0
20210627003000,27/12:30am,7.1,NW,2,7,0.0
20210627010000,27/01:00am,5.9,NW,6,7,0.0
20210627013000,27/01:30am,5.9,W,7,9,0.0
20210627020000,27/02:00am,5.3,W,2,6,0.0
20210627023000,27/02:30am,5.0,CALM,0,0,0.0
20210627030000,27/03:00am,4.6,SE,6,7,0.0
20210627033000,27/03:30am,5.0,NW,7,11,0.0
20210627040000,27/04:00am,5.0,NW,6,9,0.0
20210627043000,27/04:30am,4.0,CALM,0,4,0.0
20210627050000,27/05:00am,4.2,SW,6,6,0.0
20210627053000,27/05:30am,4.0,W,6,9,0.0
20210627060000,27/06:00am,4.4,W,13,15,0.0
20210627063000,27/06:30am,5.7,WSW,7,13,0.0
20210627070000,27/07:00am,3.6,SSE,7,11,0.0
20210627073000,27/07:30am,4.5,WSW,7,11,0.0
20210627080000,27/08:00am,5.6,ESE,2,6,0.0
20210627083000,27/08:30am,8.4,CALM,0,0,0.0
20210627090000,27/09:00am,9.7,W,7,11,0.0
20210627093000,27/09:30am,10.7,NNW,7,11,0.0
20210627100000,27/10:00am,12.3,WNW,6,9,0.0
20210627103000,27/10:30am,13.3,WNW,9,13,0.0
20210627110000,27/11:00am,14.4,W,9,15,0.0
20210627113000,27/11:30am,15.1,W,13,19,0.0
20210627120000,27/12:00pm,15.8,WSW,11,20,0.0
20210627123000,27/12:30pm,16.1,W,11,15,0.0
20210627130000,27/01:00pm,16.9,WSW,13,17,0.0
20210627133000,27/01:30pm,17.4,WSW,11,17,0.0
20210627140000,27/02:00pm,17.8,SW,11,15,0.0
20210627143000,27/02:30pm,17.9,W,9,15,0.0
20210627150000,27/03:00pm,17.9,SW,9,15,0.0
20210627153000,27/03:30pm,18.1,SW,7,9,0.0
20210627160000,27/04:00pm,17.5,SW,7,11,0.0
20210627163000,27/04:30pm,16.1,SW,7,7,0.0
20210627170000,27/05:00pm,13.5,S,9,13,0.0
20210627173000,27/05:30pm,12.7,SSE,7,9,0.0
20210627180000,27/06:00pm,12.1,SSE,9,11,0.0
20210627183000,27/06:30pm,10.0,SW,7,11,0.0
